snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,contractSymbol,lastTradeDate,r,q,roe,moneyness,change,percentChange,contractSize,currency,tot_return,moneyness_bucket,low_premium_flag,far_tenor_flag
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,230.0,,181.2,178.15,184.3,25.0,272.0,6.902345122070313,True,TSLA260220C00230000,2026-02-20 20:09:46+00:00,0.045,0.0,inf,0.5584964205464767,0.33999634,0.18798868,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,235.0,,175.55,173.15,179.6,1.0,24.0,6.847657690429687,True,TSLA260220C00235000,2026-02-20 18:39:47+00:00,0.045,0.0,inf,0.5706376470800958,-0.16999817,-0.09674378,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,240.0,,170.97,168.3,173.85,12.0,242.0,6.208010052490234,True,TSLA260220C00240000,2026-02-20 20:11:10+00:00,0.045,0.0,inf,0.5827788736137148,-0.27999878,-0.16350293,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,245.0,,165.14,163.15,169.55,10.0,25.0,6.389650450439454,True,TSLA260220C00245000,2026-02-20 18:19:54+00:00,0.045,0.0,inf,0.5949201001473339,1.2700043,0.7750072,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,250.0,,159.97,160.85,163.4,40.0,280.0,4.246098442382813,True,TSLA260220C00250000,2026-02-20 20:22:40+00:00,0.045,0.0,inf,0.6070613266809529,-1.3300018,-0.82455164,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,255.0,,155.02,152.95,160.3,79.0,92.0,6.315431793212891,True,TSLA260220C00255000,2026-02-20 20:04:08+00:00,0.045,0.0,inf,0.6192025532145721,0.9700012,0.62966645,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,260.0,,150.2,150.15,154.05,7.0,150.0,3.902343994140625,True,TSLA260220C00260000,2026-02-20 19:50:44+00:00,0.045,0.0,inf,0.6313437797481911,-0.44000244,-0.29208872,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,265.0,,145.44,143.0,149.65,16.0,25.0,5.618167039794921,True,TSLA260220C00265000,2026-02-20 18:02:20+00:00,0.045,0.0,inf,0.6434850062818102,-3.319992,-2.2317774,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,270.0,,141.0,138.15,144.3,57.0,218.0,5.261722172851561,True,TSLA260220C00270000,2026-02-20 20:45:00+00:00,0.045,0.0,inf,0.6556262328154292,0.44999695,0.32016858,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,275.0,,137.45,133.15,139.5,141.0,146.0,5.1621129223632805,True,TSLA260220C00275000,2026-02-20 19:13:07+00:00,0.045,0.0,inf,0.6677674593490482,1.3300018,0.9770804,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,280.0,,132.51,130.9,132.6,126.0,229.0,3.896484633789063,True,TSLA260220C00280000,2026-02-20 20:47:11+00:00,0.045,0.0,inf,0.6799086858826673,2.8600006,2.2059395,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,285.0,,126.2,122.95,129.65,5.0,85.0,4.846683629150389,True,TSLA260220C00285000,2026-02-20 20:46:51+00:00,0.045,0.0,inf,0.6920499124162863,1.0199966,0.814824,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,290.0,,121.0,118.15,124.3,16.0,265.0,4.519535600585938,True,TSLA260220C00290000,2026-02-20 20:48:23+00:00,0.045,0.0,inf,0.7041911389499055,-0.15000153,-0.12381471,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,295.0,,115.89,113.25,119.35,10.0,189.0,4.360356112060545,True,TSLA260220C00295000,2026-02-20 19:42:08+00:00,0.045,0.0,inf,0.7163323654835245,0.48999786,0.4246082,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,300.0,,110.1,110.25,113.35,958.0,1282.0,3.74218814453125,True,TSLA260220C00300000,2026-02-20 20:35:52+00:00,0.045,0.0,inf,0.7284735920171436,-0.76000214,-0.6855513,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,305.0,,106.92,106.25,108.85,103.0,164.0,3.107424106445312,True,TSLA260220C00305000,2026-02-20 20:56:20+00:00,0.045,0.0,inf,0.7406148185507626,1.9700012,1.8770856,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,310.0,,101.25,98.15,104.4,43.0,617.0,3.851074591064453,True,TSLA260220C00310000,2026-02-20 20:14:17+00:00,0.045,0.0,inf,0.7527560450843817,-0.55000305,-0.540278,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,315.0,,96.08,92.95,99.6,16.0,50.0,3.7480475048828126,True,TSLA260220C00315000,2026-02-20 20:48:22+00:00,0.045,0.0,inf,0.7648972716180007,0.6100006,0.6389448,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,320.0,,92.15,88.35,93.65,219.0,964.0,3.231447233886718,True,TSLA260220C00320000,2026-02-20 20:59:04+00:00,0.045,0.0,inf,0.7770384981516197,1.0800018,1.185903,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,325.0,,87.59,83.3,89.65,33.0,65.0,3.4189467651367185,True,TSLA260220C00325000,2026-02-20 19:22:50+00:00,0.045,0.0,inf,0.7891797246852389,1.0399933,1.2016097,REGULAR,USD,inf,Deep ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,330.0,,80.26,80.3,83.35,100.0,407.0,1.3125034374999998,True,TSLA260220C00330000,2026-02-20 19:49:18+00:00,0.045,0.0,inf,0.8013209512188579,0.26000214,0.32500267,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,335.0,,77.51,73.15,79.45,15.0,153.0,3.0190454211425783,True,TSLA260220C00335000,2026-02-20 19:23:07+00:00,0.045,0.0,inf,0.813462177752477,1.8100052,2.391024,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,340.0,,71.18,70.8,73.8,61.0,931.0,1.9746095019531251,True,TSLA260220C00340000,2026-02-20 20:44:43+00:00,0.045,0.0,inf,0.825603404286096,0.47000122,0.66468847,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,345.0,,66.6,63.15,69.6,19.0,156.0,2.729007083740234,True,TSLA260220C00345000,2026-02-20 20:43:32+00:00,0.045,0.0,inf,0.8377446308197151,0.33999634,0.5131245,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,350.0,,61.72,61.6,61.85,216.0,1775.0,1.1796916015624999,True,TSLA260220C00350000,2026-02-20 20:59:14+00:00,0.045,0.0,inf,0.8498858573533341,0.20000076,0.32509875,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,355.0,,56.6,56.6,56.85,85.0,260.0,1.0859420703125,True,TSLA260220C00355000,2026-02-20 20:50:02+00:00,0.045,0.0,inf,0.8620270838869533,1.6399994,2.9839873,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,357.5,,57.65,54.1,54.35,51.0,31.0,1.0390673046875003,True,TSLA260220C00357500,2026-02-19 17:24:05+00:00,0.045,0.0,inf,0.8680976971537627,0.0,0.0,REGULAR,USD,inf,ITM,False,False
2026-02-20T21:54:57Z,TSLA,411.82000732421875,call,2026-02-20,0.0,360.0,,51.7,51.6,51.85,79.0,1603.0,0.992187578125,True,TSLA260220C00360000,2026-02-20 20:58:05+00:00,0.045,0.0,inf,0.8741683104205723,0.7400017,1.4521227,REGULAR,USD,inf,ITM,False,False
