snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,roe,tot_return,moneyness,moneyness_bucket,lastPrice,bid,ask,volume,openInterest,impliedVolatility,contractSymbol,lastTradeDate,change,percentChange,inTheMoney,contractSize,currency,r,q,low_premium_flag,far_tenor_flag
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,165.0,0.9999996481137527,163.9759675772606,163.84521209118677,0.8692445139261565,ITM,24.61,23.45,26.5,14.0,41.0,1.0078174609375,NVDA260223C00165000,2026-02-20 20:30:07+00:00,3.1500015,14.67848,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,167.5,0.9986211299961631,148.51785117013972,148.400266055489,0.8824148853492801,ITM,22.29,20.25,23.6,2.0,98.0,1.4970728271484377,NVDA260223C00167500,2026-02-20 20:53:33+00:00,3.4500008,18.312105,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,170.0,0.999919239536724,132.92647513881954,132.82206039559193,0.8955852567724037,ITM,19.95,18.85,20.3,73.0,527.0,1.0439500927734378,NVDA260223C00170000,2026-02-20 20:54:35+00:00,2.3500004,13.352275,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,172.5,0.9998911776755639,120.40007046408368,120.3088260922792,0.9087556281955272,ITM,18.07,16.5,19.05,44.0,206.0,0.92382888671875,NVDA260223C00172500,2026-02-20 20:11:24+00:00,3.1599998,21.193829,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,175.0,0.9978679104665733,97.94582378649861,97.86774978611726,0.9219259996186508,ITM,14.7,13.8,15.8,376.0,274.0,1.0170947583007814,NVDA260223C00175000,2026-02-20 20:37:25+00:00,2.5,20.491804,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,177.5,0.9994163399184849,83.28726512457365,83.22236149561543,0.9350963710417745,ITM,12.5,10.95,12.85,26.0,250.0,0.7377955908203124,NVDA260223C00177500,2026-02-20 20:47:30+00:00,2.12,20.423891,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,180.0,0.9997402824802314,66.42992266335996,66.37818940582486,0.9482667424648981,ITM,9.97,9.5,10.15,491.0,1593.0,0.5459029785156251,NVDA260223C00180000,2026-02-20 20:55:53+00:00,1.5200005,17.988173,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,182.5,0.9993180638741733,48.972911893249304,48.93434900713733,0.9614371138880217,ATM,7.35,7.35,7.65,4937.0,2256.0,0.4379939013671875,NVDA260223C00182500,2026-02-20 20:59:25+00:00,1.0999999,17.599998,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,185.0,0.9916221511858111,34.247723419224684,34.22233090453583,0.9746074853111452,ATM,5.14,5.05,5.35,21031.0,3889.0,0.383795224609375,NVDA260223C00185000,2026-02-20 20:59:20+00:00,0.8399997,19.534876,True,REGULAR,USD,0.045,0.0,False,False
2026-02-22T17:04:24Z,NVDA,189.82000732421875,call,2026-02-23,0.000790659376522,187.5,0.9057552359355765,21.321539871890856,21.309317728625125,0.9877778567342688,ATM,3.2,3.15,3.25,40813.0,9914.0,0.3347234497070312,NVDA260223C00187500,2026-02-20 20:59:31+00:00,0.51,18.959106,True,REGULAR,USD,0.045,0.0,False,False
