snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,contractSymbol,lastTradeDate,r,q,roe,moneyness,change,percentChange,contractSize,currency,moneyness_bucket,low_premium_flag
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,149.0,1.0,37.28,35.95,36.05,3.0,22.0,1.171879140625,True,NVDA260218C00149000,2026-02-17 19:25:29+00:00,0.045,0.0,1932.511374759303,0.8055360275540879,-6.720001,-15.27273,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,150.0,1.0,36.62,34.95,35.1,44.0,51.0,1.2265663671875,True,NVDA260218C00150000,2026-02-17 19:45:52+00:00,0.045,0.0,1898.2984587898516,0.8109423096182093,2.039997,5.899355,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,152.5,1.0,31.15,32.45,32.6,4.0,9.0,1.140629296875,True,NVDA260218C00152500,2026-02-17 17:53:05+00:00,0.045,0.0,1614.7459582551578,0.8244580147785129,-5.1000004,-14.068966,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,155.0,1.0,30.22,29.95,30.1,12.0,19.0,1.05859845703125,True,NVDA260218C00155000,2026-02-17 20:45:22+00:00,0.045,0.0,1566.5368493891128,0.8379737199388163,1.8599987,6.558529,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,157.5,1.0,30.5,27.45,27.6,3.0,8.0,0.9726565234375,True,NVDA260218C00157500,2026-02-12 16:27:14+00:00,0.045,0.0,1581.0514198003953,0.8514894250991198,0.0,0.0,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,160.0,1.0,24.8,25.0,25.1,42.0,143.0,0.937500625,True,NVDA260218C00160000,2026-02-17 20:54:10+00:00,0.045,0.0,1285.5762364278623,0.8650051302594234,2.1999989,9.734508,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,162.5,1.0,20.9,22.5,22.6,3.0,33.0,0.851563984375,True,NVDA260218C00162500,2026-02-17 16:16:28+00:00,0.045,0.0,1083.4090056992873,0.8785208354197268,-2.0300007,-8.853033,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,165.0,1.0,20.58,20.0,20.1,36.0,201.0,0.7656273437500001,True,NVDA260218C00165000,2026-02-17 18:46:45+00:00,0.045,0.0,1066.8209252292502,0.8920365405800303,2.1000004,11.363638,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,167.5,1.0,18.07,17.5,17.6,32.0,62.0,0.6777375976562501,True,NVDA260218C00167500,2026-02-17 19:01:10+00:00,0.045,0.0,936.7081690423981,0.9055522457403338,-1.3299999,-6.8556705,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,170.0,1.0,15.11,15.0,15.1,1065.0,1296.0,0.5918009570312501,True,NVDA260218C00170000,2026-02-17 20:36:38+00:00,0.045,0.0,783.2684246945564,0.9190679509006373,1.9099998,14.469696,REGULAR,USD,ITM,False
2026-02-17T23:05:10Z,NVDA,184.97000122070312,call,2026-02-18,0.00010429237208269913,172.5,1.0,12.71,12.5,12.6,351.0,279.0,0.5039112109375,True,NVDA260218C00172500,2026-02-17 20:31:43+00:00,0.045,0.0,658.8578211692795,0.9325836560609407,1.5100002,13.482146,REGULAR,USD,ITM,False
