snapshot_ts_utc,symbol,underlying_price,option_type,expiration,T_years,strike,delta,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,contractSymbol,lastTradeDate,r,q,roe,moneyness,change,percentChange,contractSize,currency,moneyness_bucket
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,148.0,0.9987119511026074,36.48,32.3,37.45,1.0,6.0,0.9433599414062499,True,NVDA260218C00148000,2026-02-13 17:39:22+00:00,0.045,0.0,35.22900034874189,0.8095837316149159,-8.170002,-18.297876,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,149.0,0.9422395213895468,44.0,31.4,36.0,2.0,22.0,1.8066415917968748,True,NVDA260218C00149000,2026-02-11 14:32:13+00:00,0.045,0.0,42.491118841684305,0.8150538919636654,0.0,0.0,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,150.0,0.9943029081289759,34.58,30.5,33.05,2.0,50.0,1.056645341796875,True,NVDA260218C00150000,2026-02-13 17:39:22+00:00,0.045,0.0,33.394156580578255,0.8205240523124148,-4.419998,-11.333328,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,152.5,0.936611781272012,36.25,27.9,32.45,8.0,9.0,1.646486142578125,True,NVDA260218C00152500,2026-02-10 20:09:50+00:00,0.045,0.0,35.006887682069454,0.8341994531842883,0.0,0.0,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,155.0,0.9997977451151604,28.36,25.6,30.0,8.0,20.0,0.6250037500000001,True,NVDA260218C00155000,2026-02-13 15:15:45+00:00,0.045,0.0,27.387457507958334,0.8478748540561619,-8.919998,-23.927034,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,157.5,0.9997666853633024,30.5,23.35,27.25,3.0,8.0,0.570316796875,True,NVDA260218C00157500,2026-02-12 16:27:14+00:00,0.045,0.0,29.454071015258435,0.8615502549280355,0.0,0.0,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,160.0,0.9733560535641412,22.6,22.6,24.3,129.0,41.0,0.9350592431640624,True,NVDA260218C00160000,2026-02-13 20:24:44+00:00,0.045,0.0,21.824983768683303,0.8752256557999091,-4.5,-16.605165,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,162.5,0.9961822105756243,22.93,19.3,21.5,10.0,23.0,0.5927775097656252,True,NVDA260218C00162500,2026-02-13 14:45:52+00:00,0.045,0.0,22.143667159995932,0.8889010566717827,-7.3199997,-24.198345,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,165.0,0.9873034473902121,18.48,17.5,18.6,95.0,194.0,0.6171913281250001,True,NVDA260218C00165000,2026-02-13 20:00:52+00:00,0.045,0.0,17.84626991350741,0.9025764575436562,-6.0699997,-24.72505,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,167.5,0.9764441047033559,19.4,15.1,16.25,1.0,62.0,0.5937540625000001,True,NVDA260218C00167500,2026-02-12 19:11:22+00:00,0.045,0.0,18.73472058019717,0.9162518584155298,-2.7399998,-12.37579,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,170.0,0.9632950457304964,13.2,13.2,13.35,1190.0,303.0,0.5473678076171876,True,NVDA260218C00170000,2026-02-13 20:45:04+00:00,0.045,0.0,12.74733565250529,0.9299272592874034,-4.2,-24.13793,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,172.5,0.9359730242272919,11.2,10.9,11.05,191.0,266.0,0.51562984375,True,NVDA260218C00172500,2026-02-13 20:28:12+00:00,0.045,0.0,10.815921159701459,0.9436026601592771,-4.7,-29.55975,REGULAR,USD,ITM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,175.0,0.8817114516543832,8.85,8.7,8.85,848.0,804.0,0.5009815527343751,True,NVDA260218C00175000,2026-02-13 20:59:35+00:00,0.045,0.0,8.546509130656956,0.9572780610311507,-3.8999996,-30.588234,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,177.5,0.8073556924687212,6.75,6.65,6.75,1397.0,718.0,0.4643608251953125,True,NVDA260218C00177500,2026-02-13 20:59:55+00:00,0.045,0.0,6.518523913212934,0.9709534619030242,-3.9499998,-36.915886,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,180.0,0.6889403386729642,4.9,4.8,4.9,6461.0,1194.0,0.43921459228515625,True,NVDA260218C00180000,2026-02-13 20:59:42+00:00,0.045,0.0,4.731965507369389,0.9846288627748978,-3.7000003,-43.02326,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,182.5,0.5311739399223041,3.25,3.2,3.3,11670.0,702.0,0.414068359375,True,NVDA260218C00182500,2026-02-13 20:59:58+00:00,0.045,0.0,3.138548550806227,0.9983042636467714,-3.29,-50.30581,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,185.0,0.3492257974762173,2.0,1.95,1.98,37883.0,4084.0,0.3852600537109374,False,NVDA260218C00185000,2026-02-13 20:59:56+00:00,0.045,0.0,1.9314144928038322,1.011979664518645,-2.88,-59.016396,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,187.5,0.18445900262424603,1.07,1.05,1.07,33666.0,1037.0,0.36524072265625,False,NVDA260218C00187500,2026-02-13 20:59:58+00:00,0.045,0.0,1.0333067536500502,1.0256550653905185,-2.3899999,-69.075134,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,190.0,0.07736950986758391,0.51,0.51,0.53,78177.0,8073.0,0.3544986425781249,False,NVDA260218C00190000,2026-02-13 20:59:58+00:00,0.045,0.0,0.4925106956649772,1.0393304662623921,-1.79,-77.82609,REGULAR,USD,ATM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,192.5,0.025855284623123802,0.24,0.23,0.24,16591.0,8522.0,0.348639326171875,False,NVDA260218C00192500,2026-02-13 20:59:55+00:00,0.045,0.0,0.23176973913645982,1.0530058671342657,-1.2,-83.33333,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,195.0,0.008733967423189718,0.12,0.11,0.12,23209.0,7946.0,0.35742830078125,False,NVDA260218C00195000,2026-02-13 20:59:53+00:00,0.045,0.0,0.11588486956822991,1.0666812680061393,-0.74,-86.04651,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,197.5,0.0034549866866597848,0.07,0.06,0.07,6579.0,8735.0,0.37695935546875,False,NVDA260218C00197500,2026-02-13 20:59:36+00:00,0.045,0.0,0.06759950724813413,1.0803566688780128,-0.42000002,-85.71429,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,200.0,0.0017748316105073837,0.04,0.04,0.05,6069.0,8772.0,0.4062559375,False,NVDA260218C00200000,2026-02-13 20:59:25+00:00,0.045,0.0,0.03862828985607664,1.0940320697498864,-0.25,-86.2069,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,202.5,0.001075564030526721,0.03,0.03,0.04,1706.0,2422.0,0.43945873046875,False,NVDA260218C00202500,2026-02-13 20:39:58+00:00,0.045,0.0,0.028971217392057477,1.10770747062176,-0.14,-82.35294,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,205.0,0.0005774573634106768,0.03,0.02,0.03,2494.0,1780.0,0.46484910156250003,False,NVDA260218C00205000,2026-02-13 20:56:47+00:00,0.045,0.0,0.028971217392057477,1.1213828714936336,-0.08,-72.72727,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,207.5,0.0004176196118598248,0.02,0.02,0.03,475.0,3382.0,0.500005,False,NVDA260218C00207500,2026-02-13 20:34:17+00:00,0.045,0.0,0.01931414492803832,1.1350582723655072,-0.04,-66.66667,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,210.0,0.00023833756238657297,0.02,0.01,0.03,1171.0,1713.0,0.523442265625,False,NVDA260218C00210000,2026-02-13 20:48:28+00:00,0.045,0.0,0.01931414492803832,1.1487336732373807,-0.030000001,-60.000004,REGULAR,USD,OTM
2026-02-15T22:22:46Z,NVDA,182.80999755859375,call,2026-02-18,0.005664408514205987,212.5,0.0001419228442606122,0.01,0.01,0.02,1544.0,933.0,0.5468795312500001,False,NVDA260218C00212500,2026-02-13 20:45:41+00:00,0.045,0.0,0.00965707246401916,1.1624090741092543,-0.03,-75.0,REGULAR,USD,OTM
